Key,Type,Desc,English,Polish,Spanish,Portuguese
Game/Countries,Text,,Countries,Kraje,Países,Países
Game/Create,Text,,Create,Stwórz,Crear,Crio
Game/CreatedYerbaMateNames,Text,X Don't translate this one,"Despalada,Con Palo,Con Hierbas,Seleccion Especial,Premium,Naranja,Clásica,Limon,Nativa,Organica,Menta,Terere,Tradicional,Energia,Chimarrão,Natural,Suave,Compuesta,Sin Palo,Organic,Manzanilla,Fresca,Gaucho,Organico,Fitness,Barbacua,Citrus,La Potente,Detox,En Forma,Frtuas,Nativa Premium,Moida Grossa,Tostada,Original,Craft,Moonshine,Hierbas Naturales,Sublime,Seleccionada,Composto,Pantanal,Silvestre,Vitality","Despalada,Con Palo,Con Hierbas,Seleccion Especial,Premium,Naranja,Clásica,Limon,Nativa,Organica,Menta,Terere,Tradicional,Energia,Chimarrão,Natural,Suave,Compuesta,Sin Palo,Organic,Manzanilla,Fresca,Gaucho,Organico,Fitness,Barbacua,Citrus,La Potente,Detox,En Forma,Frtuas,Nativa Premium,Moida Grossa,Tostada,Original,Craft,Moonshine,Hierbas Naturales,Sublime,Seleccionada,Composto,Pantanal,Silvestre,Vitality","Despalada,Con Palo,Con Hierbas,Seleccion Especial,Premium,Naranja,Clásica,Limon,Nativa,Organica,Menta,Terere,Tradicional,Energia,Chimarrão,Natural,Suave,Compuesta,Sin Palo,Organic,Manzanilla,Fresca,Gaucho,Organico,Fitness,Barbacua,Citrus,La Potente,Detox,En Forma,Frtuas,Nativa Premium,Moida Grossa,Tostada,Original,Craft,Moonshine,Hierbas Naturales,Sublime,Seleccionada,Composto,Pantanal,Silvestre,Vitality","Despalada,Con Palo,Con Hierbas,Seleccion Especial,Premium,Naranja,Clásica,Limon,Nativa,Organica,Menta,Terere,Tradicional,Energia,Chimarrão,Natural,Suave,Compuesta,Sin Palo,Organic,Manzanilla,Fresca,Gaucho,Organico,Fitness,Barbacua,Citrus,La Potente,Detox,En Forma,Frtuas,Nativa Premium,Moida Grossa,Tostada,Original,Craft,Moonshine,Hierbas Naturales,Sublime,Seleccionada,Composto,Pantanal,Silvestre,Vitality"
Game/CreationCost,Text,,Creation Cost,Koszt Stworzenia,Costo de creación,
Game/CreationDate,Text,,Creation Date,Data Utworzenia,Fecha de creación,
Game/CreationStepInformation0,Text,,Searching for suitable raw materials for the product...,Szukanie odpowiednich surowców do produktu...,,
Game/CreationStepInformation1,Text,,Transport and detailed analysis of raw materials...,Transport i szczegółowa analiza surowców...,,
Game/CreationStepInformation2,Text,,Experimenting with refreshment/stimulation...,Eksperymentowanie z orzeźwieniem/pobudzeniem...,,
Game/CreationStepInformation3,Text,,Attempts to pour yerba with water at various temperatures...,Próby zalewania yerby wodą w różnych temperaturach...,,
Game/CreationStepInformation4,Text,,Repeatedly pouring yerba and checking the stimulation effect...,Wielokrotne zalewanie yerby i sprawdzanie pobudzenia...,,
Game/CreationStepInformation5,Text,,Attempts to pour yerba with various juices...,Próby zalewnia yerby sokami...,,
Game/CreationStepInformation6,Text,,Selecting the right proportions of a yerba (leaves/sticks/dust)...,Dobieranie odpowiednich proporcji suszu (liście/patyczki/pył)...,,
Game/CreationStepInformation7,Text,,Taste/aroma/appearance balancing...,Balansowanie smaku/aromatu/wyglądu...,,
Game/CreationStepInformation8,Text,,Finalization of product creation ...,Finalizacja tworzenia produktu...,,
Game/CurrentlyBorrowed,Text,,<style=Negative>Currently Borrowed:</style>,<style=Negative>Aktualnie Pożyczono:</style>,,
Game/DryingMethod,Text,,Drying Method,Metoda Suszenia,Metodo de secado,
Game/EpicRate0,Text,,The taste pierced my soul,Smak przeszył moje stopy,El gusto agujereo mis pies,
Game/EpicRate1,Text,,For this taste I would give away my Palo Santo,Dla tego smaku oddałbym swoje Palo Santo,Por este gusto daria mi Palo Santo,
Game/EpicRate2,Text,,Eighth wonder of the world,Ósmy cud świata,La octava maravilla del mundo,
Game/EpicRate3,Text,,It made my taste buds orgasm,Moje kubki smakowe dostały orgazmu,Mis papilas gustativas tuvieron un orgasmo,
Game/EpicRate4,Text,,It looks like heaven and tastes even better,Wygląda jak gówno a smakuje jeszcze lepiej,,
Game/ExitGame,Text,"Don't touch things in <style>, style need to stay",<style=Negative>!</style><style=Important>Exit Game</style>,<style=Negative>!</style><style=Important>Wyjdź Z Gry</style>,<style=Negative>!</style><style=Important>salir del juego</style>,<style=Negative>!</style><style=Important>Sair do jogo</style>
Game/Fans,Text,,Fans:,Fani:,Aficionados:,Fãs:
Game/FinalEpicRate0,Text,,For a long time nothing this good has appeared on the market. Just buy this yerba and drink it.,"Dawno na rynku nie pojawiło się nic tak dobrego, nic tylko kupować i pić.","Hace mucho tiempo que nada tan bueno aparecia en el mercado, solo compra esta yerba y tomala.",
Game/FinalEpicRate1,Text,,"A diamond in the rough in the world of yerba, this taste will become the classic.","Biały kruk w świecie yerb, ten smak przejdzie do klasyki.","Un cuervo blanco en el mundo de la yerba, el gusto va a volverse un clasico.",
Game/FinalRateBad0,Text,,"If this yerba would cost $1, it still wouldn't be worth this price.","Jeśli ta yerba kosztowałaby $1, to nadal nie byłaby warta tej ceny.","Si esta yerba costara $1, aún no lo valdría.",
Game/FinalRateBad1,Text,,A low-quality product that doesn't stand out from the competitions.,Produkt niskiej jakości niczym niewyróżniający się na tle konkurencji.,Un producto de baja calidad que no sobresale de sus competencia.,
Game/FinalRateGood0,Text,,"And this is a product you should reach for, taste, aroma, appearance — that's it.","I to jest produkt, po który warto sięgnąć, smak, zapach, wygląd to jest to.","Este es un producto que deberias buscar, gusto, aroma, apariencia — solo eso.",
Game/FinalRateGood1,Text,,"This yerba will surely find crowds of fans, it's a great product.","Ta yerba na pewno znajdzie rzesze fanów, jest bardzo dobrze.","Esta yerba seguro tendra una multitud de aficionados, es un gran producto.",
Game/FinalRateNormal0,Text,,"It's not bad, but it's also not good, a typical average product, we were expecting something more.","Nie jest źle, ale tez nie jest dobrze, typowy średniak, oczekiwaliśmy czegoś więcej.","No es mala, tampoco es buena, un tipico producto promedio, esperabamos algo más.",
Game/FinalRateNormal1,Text,,"Yerba does not have any major disadvantages, but there are no major advantages too, yerba like yerba.","Yerba w sumie nie ma jakiś większych wad, ale nie ma też większych zalet, yerba jak yerba.","La yerba no tiene ninguna desventaja , pero tanto hay ninguna ventaja, yerba como yerba.",
Game/Fruits,Text,,Fruits,Owoce,Frutas,
Game/GameLoaded,Text,Don’t touch colors tag,The Game Has Been Loaded,Gra Została Wczytana,El Juego Ha Sido Cargado,
Game/GameSaved,Text,Don’t touch colors tag,The Game Has Been Saved,Gra Została Zapisana,El Juego Ha Sido Guardado,
Game/Help,Text,,Help,Pomoc,Ayuda,Socorro
Game/Herbs,Text,,Herbs,Zioła,Hierbas,
Game/HighQuality,Text,,High,Wysoka,Alta,
Game/Income,Text,,Income,Dochód,Ingresos,
Game/ItIsAJoke,Text,,Is This A Joke?,To Jakiś Żart?,Es una broma?,
Game/Lend,Text,,Lend,Pożycz,,
Game/Load,Text,,Load,Wczytaj,Carga,Carga
Game/Loan,Text,,Choose <s> Usury </s> (time icon) and borrow,Wybierz <s>Lichwę</s> (ikona czasu) i pożyczaj,,
Game/LoanCost,Text,,<style=Important>Loan Cost(%):</style>,<style=Important>Koszt Pożyczki(%):</style>,,
Game/LowQuality,Text,,Low,Niska,Baja,
Game/MaximumLoan,Text,,<style=Important>Maximum Loan:</style>,<style=Important>Maksymalna Pożyczka:</style>,,
Game/MediumQuality,Text,,Average,Średnia,Media,
Game/Men,Text,,Men,Mężczyźni,Hombres,
Game/MenuDecision0,Text,,Do you want to start a new game? (Don't forget to save the game),Czy chcesz zacząć nową grę? (Nie zapomnij o zapisaniu gry),¿Quieres comenzar un nuevo juego?  (No olvides guardar el juego),Você quer começar um novo jogo? (Não se esqueça de salvar o jogo)
Game/MenuDecision1,Text,,Do you want to exit the game? (Don't forget to save the game),Czy chcesz wyjść z gry? (Nie zapomnij o zapisaniu gry),¿Quieres salir del juego? (No olvides guardar el juego),Deseja sair do jogo? (Não se esqueça de salvar o jogo)
Game/MonthlySales,Text,,<style=Important>Monthly Sales:</style>,<style=Important>Miesięczna Sprzedaż:</style>,,
Game/NewGame,Text,,<style=Negative>!</style>New Game,<style=Negative>!</style>Nowa Gra,<style=Negative>! </style>Nuevo Juego,<style=Negative>! </style>Novo Jogo
Game/No,Text,,NO,NIE,NO,NÃO
Game/Number,Text,,Number,Liczba,Numero,
Game/Ok,Text,,OK,OK,OK,OK
Game/Other,Text,,Other,Inne,Otros,
Game/PackageQuality,Text,,Packaging Quality,Jakość Opakowania,Calidad de empaquetado,
Game/PackageType,Text,,Package Type,Rodzaj Opakowania,Tipo de empaquetado,
Game/PremiumQuality,Text,,Premium,Premium,Premium,Prêmio
Game/Price,Text,,Price,Cena,Precio,Preço
Game/ProductReady,Text,,Finished  Product," Produkt 
 Gotowy",Terminado,
Game/Rate,Text,,Rate,Ocena,Puntuación,
Game/RateBad0,Text,,A Homeless person’s feet smells better,Stopy kloszarda pachną lepiej,Los pies de un indigente huelen mejor,
Game/RateBad1,Text,,No comment,Bez komentarza,Sin comentarios,
Game/RateBad2,Text,,"Shame, disgrace, failure","Wstyd, hańba, porażka","Vergüenza, desgracia, fracaso",
Game/RateBad3,Text,,I would not give it to a dog,Nie dałbym tego nawet psu,No se lo daria a un perro,
Game/RateBad4,Text,,My urine tastes better,Mój mocz smakuje lepiej,Mi orina sabe mejor,
Game/RateBad5,Text,,This is some failure,To jest jakaś porażka,Esto es un fracaso,
Game/RateBad6,Text,,Mercy!!!,Litości!!!,Piedad!!!,
Game/RateGood0,Text,,Classic,Klasyka,Clasico,
Game/RateGood1,Text,,Something new,Coś nowego,Algo nuevo,
Game/RateGood2,Text,,The taste caresses taste buds,Smak pieści kubki smakowe,El gusto no tiene papilas gustativas,
Game/RateGood3,Text,,Interesting connection,Ciekawe połączenie,Interesante conexión,
Game/RateGood4,Text,,Unique,Unikat,Unico,
Game/RateGood5,Text,,A good balance of flavors,Dobry balans smaków,Un buen balance de sabores,
Game/RateNormal0,Text,,Nothing special,Nic specjalnego,Nada especial,
Game/RateNormal1,Text,,I do not recommend or advise against,Nie polecam ani nie odradzam,No la recomiendo ni desaconsejo,
Game/RateNormal2,Text,,Could be better,Mogło być lepiej,Podria ser mejor,
Game/RateNormal3,Text,,You are capable of more,Stać Was na więcej,Eres capaz de más,
Game/RateNormal4,Text,,I was expecting something more,Spodziewałem się czegoś więcej,Estaba esperando algo más,
Game/RateNormal5,Text,,"Okay, but it needs more","Dobra, ale więcej nie róbcie","Está bien, pero no hagas más",
Game/Refreshment,Text,,Refreshment,Orzeźwienie,Refresco,Refresco
Game/Release,Text,,Release,Wydaj,,
Game/Repay,Text,,Repay,Spłać,,
Game/ReviewAdditiveRate0,Text,,is a poorly balanced additive here,jest tutaj źle zbalansowanym dodatkiem,esto es un pobre balance de aditivos,
Game/ReviewAdditiveRate1,Text,,is a well-balanced additive here,jest tutaj dobrze zbalansowanym dodatkiem,esto es un buen balance de aditivos,
Game/ReviewAdditiveRepeat,Text,,it is a pity that the company has recently released yerba with similar additives,"szkoda, że firma niedawno wypuściła już yerbe z podobnymi dodatkami",es una lastima que la compania haya sacado una yerba con aditivos similares,
Game/ReviewApperanceFocus0,Text,,yerba appearance is some grim joke,wygląd yerby jest jakimiś ponurym żartem,la apariencia de la yerba es una terrible broma,
Game/ReviewApperanceFocus1,Text,,yerba looks great,yerba prezentuje się znakomicie,la yerba se ve muy bien,
Game/ReviewAromaFocus0,Text,,the aroma is not properly balanced,aromat nie jest odpowiednio zbalansowany,el aroma no esta apropiadamente balanceado,
Game/ReviewAromaFocus1,Text,,the aroma is very pleasant,aromat jest bardzo przyjemny,el aroma es muy placentero,
Game/ReviewPopularAdditive,Text,,"A popular additive has been selected, it will definitely increase sales","dobrano popularny dodatek, to na pewno zwiększy sprzedaż","Un aditivo popular ha sido seleccionado, definitavemente aumentara las ventas",
Game/ReviewRefreshmentAndStimulationBalance0,Text,,Bad balance of stimulation/refreshment,Zły balans pobudzenia/orzeźwienia,Mal balance de estimulación/refrescamiento,
Game/ReviewRefreshmentAndStimulationBalance1,Text,,Good balance of stimulation/refreshment,Dobry balans pobudzenia/orzeźwienia,Buen balance de estimulación/refrescamiento,
Game/ReviewRefreshmentAndStimulationBalance2,Text,,Fantastic balance of stimulation/refreshment,Fantastyczny balans pobudzenia/orzeźwienia,Fantastico balance de estimulación/refrescamiento,
Game/ReviewStimulationAndRefreshmentFocus0,Text,,not enough attention was given to refreshment,za mało uwagi poświęcono orzeźwieniu,no se le ha dado suficiente atención al refrescamiento,
Game/ReviewStimulationAndRefreshmentFocus1,Text,,not enough attention was given to stimulation,za mało uwagi poświęcono pobudzeniu,no se le ha dado suficiente atención a la estimulación,
Game/ReviewStimulationAndRefreshmentFocus2,Text,,not enough attention was given to refreshment/stimulation,za mało uwagi poświęcono orzeźwieniu/pobudzeniu,no se le ha dado suficiente atención al refrescamiento/estimulación,
Game/ReviewStimulationAndRefreshmentFocus3,Text,,refreshment and stimulation is not too low,orzeźwienie i pobudzenie nie jest zbyt niskie,refrecamiento y estimulación no son muy bajos,
Game/ReviewTasteFocus0,Text,,taste is not a strong element of this yerba,smak nie jest mocnym elementem tej yerby,el gusto no es un elemento fuerte de esta yerba,
Game/ReviewTasteFocus1,Text,,the infusion taste is unique,smak naparu jest wyjątkowy,el gusto de esta infusión es unico,
Game/Sales,Text,,Units Sold,Sprzedane Opakowania,Unidades Vendidas,
Game/Save,Text,,Save,Zapisz,Guardar,Salvar
Game/SaveName,Text,Don’t touch the things in {[]},Save {[SaveNumber]}[i2p_Zero]Save {[SaveNumber]}[i2p_One]Save {[SaveNumber]},Zapis {[SaveNumber]},,
Game/Send,Text,,Send,Wyślij,Enviar,
Game/Settings,Text,,Settings,Ustawienia,Ajustes,Configurações
Game/Sort,Text,,Sorting:,Sortowanie:,Ordenar:,
Game/SortByName,Text,,Name,Nazwa,Nombre,
Game/SortByTax,Text,,Taxes,Podatki,Impuestos,
Game/SortByYerbaPopularity,Text,,Popularity Of Yerba,Popularność Yerby,Popularidad de la Yerba,
Game/SpecialWorkersNames,Text,X DON'T TRANSLATE THIS,"Wojciech Stopa,Lucas Lazarte,Rafał Czajnikuwy","Wojciech Stopa,Lucas Lazarte,Rafał Czajnikuwy","Wojciech Stopa,Lucas Lazarte,Rafał Czajnikuwy","Wojciech Stopa,Lucas Lazarte,Rafał Czajnikuwy"
Game/Stimulation,Text,,Stimulation,Pobudzenie,Estímulación,Estimulação
Game/TakeALoan,Text,,Take A Loan,Bierz Pożyczkę,Tomar un prestamo,
Game/TargetGroup,Text,,Target Group,Grupa Docelowa,Grupo Objetivo,
Game/Taste,Text,,Taste,Smak,Gusto,Gosto
Game/TotalMonthlyRate,Text,,<style=Important>Total Monthly Rate:</style>,<style=Important>Całkowita Miesięczna Rata:</style>,,
Game/TotalRepayAmmount,Text,,<style=Important>Total Repay Amount:</style>,<style=Important>Całkowita Kwota Spłaty:</style>,,
Game/TotalSales,Text,,Sales:,Sprzedaż:,,
Game/Vegetables,Text,,Vegetables,Warzywa,Vegetales,
Game/WasteOfTime,Text,,Waste Of Time,Strata Czasu,Perdida de Tiempo,
Game/Women,Text,,Women,Kobiety,Mujeres,Mulheres
Game/YerbaCancel,Text,,Do you want to abort the yerba creation process?,Czy chcesz przerwać proces tworzenia yerby?,,
Game/YerbaCreationPhase,Text,,Yerba Creation Phase {[Phase]},Tworzenie Yerby Faza {[Phase]},Fase de Creación de la Yeba,
Game/YerbaCreationQuality,Text,,Yerba Quality,Jakość Yerby,Calidad de la Yerba,
Game/YerbaMate,Text,,Yerba Mate,Yerba Mate,Yerba Mate,
Game/YerbaMateName,Text,,Name,Nazwa,Nombre,Nome
Game/YerbaMateNames,Text,X Don't Translate this one,"Nobliza Gauch,Umanda,Patarito,Tardui,Selucta,CBSd,Rosmunte,Gurnani,Yaduar,Virude Mate,Kurti,Campesno,La Hojda,Cruz We Nalta,Pitore,Codon,Canris,Indiga,Urnion,Traus,Sul Mate,Jerdovia,La Herced,CachMate,La Trubia,Mate Grin,Itrambey,Play Pito,Tacuy,El Tajaro,Guryakí,Baraoo,Laranjeira,Sincerida,Frede Rito,Meta Mate,Aragana,Ruvich,Caubona,Mate Nativ,Matte Paranan,La Selvas,Saraa,La Tranquer,Flor De Lisa,Aguantadoran","Nobliza Gauch,Umanda,Patarito,Tardui,Selucta,CBSd,Rosmunte,Gurnani,Yaduar,Virude Mate,Kurti,Campesno,La Hojda,Cruz We Nalta,Pitore,Codon,Canris,Indiga,Urnion,Traus,Sul Mate,Jerdovia,La Herced,CachMate,La Trubia,Mate Grin,Itrambey,Play Pito,Tacuy,El Tajaro,Guryakí,Baraoo,Laranjeira,Sincerida,Frede Rito,Meta Mate,Aragana,Ruvich,Caubona,Mate Nativ,Matte Paranan,La Selvas,Saraa,La Tranquer,Flor De Lisa,Aguantadoran","Nobliza Gauch,Umanda,Patarito,Tardui,Selucta,CBSd,Rosmunte,Gurnani,Yaduar,Virude Mate,Kurti,Campesno,La Hojda,Cruz We Nalta,Pitore,Codon,Canris,Indiga,Urnion,Traus,Sul Mate,Jerdovia,La Herced,CachMate,La Trubia,Mate Grin,Itrambey,Play Pito,Tacuy,El Tajaro,Guryakí,Baraoo,Laranjeira,Sincerida,Frede Rito,Meta Mate,Aragana,Ruvich,Caubona,Mate Nativ","Nobliza Gauch,Umanda,Patarito,Tardui,Selucta,CBSd,Rosmunte,Gurnani,Yaduar,Virude Mate,Kurti,Campesno,La Hojda,Cruz We Nalta,Pitore,Codon,Canris,Indiga,Urnion,Traus,Sul Mate,Jerdovia,La Herced,CachMate,La Trubia,Mate Grin,Itrambey,Play Pito,Tacuy,El Tajaro,Guryakí,Baraoo,Laranjeira,Sincerida,Frede Rito,Meta Mate,Aragana,Ruvich,Caubona,Mate Nativ,Matte Paranan,La Selvas,Saraa,La Tranquer,Flor De Lisa,Aguantadoran"
Game/YerbaPrepare,Text,,Preparation,Przyrządzanie,Preparación,
Game/Yes,Text,,YES,TAK,SI,SIM
GameStart/Argentina,Text,,Argentina,Argentyna,Argentina,Argentino
GameStart/Brazil,Text,,Brazil,Brazylia,Brasil,
GameStart/Canada,Text,,Canada,Kanada,Canada,
GameStart/CeoAge,Text,,CEO Age,Wiek Szefa,Edad de CEO,
GameStart/CeoAvatar,Text,,CEO Avatar,Awatar Szefa,Avatar de CEO,
GameStart/CeoName,Text,,CEO Name,Imię Szefa,Nombre de CEO,
GameStart/CeoPersonality0,Text,,Talented,Utalentowany,Talentoso,
GameStart/CeoPersonality1,Text,,Hard-Working,Ciężko Pracujący,Trabajador,
GameStart/CeoPersonalityMainName,Text,,CEO Personality,Osobowość Szefa,Personalidad de CEO,
GameStart/CeoSpecialization0,Text,Don’t touch colors tag,The CEO of your company is a real miser. <color=#ccff7d>+$15k money for start</color>,Szef twojej firmy to prawdziwy dusigrosz. <color=#ccff7d>+$15k pieniędzy na start</color>,El CEO de tu compania es tremendo miserable. <color=#ccff7d>+$15k dinero para el inicio</color>,
GameStart/CeoSpecialization1,Text,Don’t touch colors tag,The CEO of your company is a true leader. <color=#ccff7d>You can hire more people</color>,Szef twojej firmy to prawdziwy przywódca. <color=#ccff7d>Możesz zatrudniać większą liczbę pracowników</color>,El CEO de tu compania es un verdadero lider. <color=#ccff7d>Puedes emplear más personas</color>,
GameStart/CeoSpecialization2,Text,Don’t touch colors tag,The CEO of your company has a nose for business. <color=#ccff7d>Banks are more willing to give you credit + you have better credit terms.</color>,Szef twojej firmy ma nosa do interesów. <color=#ccff7d>Banki chętniej udzielają Ci kredytów + masz lepsze warunki kredytowania</color>,El CEO de tu compania tiene olfato para los negocios. <color=#ccff7d>Los bancos estan más dispuestos a darte prestamos + tienes mejores terminos de prestamos.</color>,
GameStart/CeoSpecializationMainName,Text,,CEO Specialization,Specjalizacja Szefa,Especialización del CEO,
GameStart/CheatModeOff,Text,,Cheat Mode Off,Tryb Oszustwa Wyłączony,Trucos apagados,
GameStart/CheatModeOn,Text,,Cheat Mode On,Tryb Oszustwa Włączony,Trucos encendidos,
GameStart/Chile,Text,,Chile,Chile,Chile,
GameStart/China,Text,,China,Chiny,China,China
GameStart/Chose,Text,,Choose,Wybierz,Escoger,Escolher
GameStart/Close,Text,,Close,Zamknij,Cerrar,Fechar
GameStart/ColdYerba,Text,,Cold (terere),Zimna (terere),Frio (tereré),
GameStart/CompanyLocation,Text,,Company Location,Lokalizacja Firmy,Localización de la Compania,
GameStart/CompanyLogo,Text,,Company Logo,Logo Firmy,Logo de la Compania,
GameStart/CompanyName,Text,,Company Name,Nazwa Firmy,Nombre de la Compania,
GameStart/CountryWillBeLowered,Text,,Will Decrease,Zmaleje,Va a Disminuir,
GameStart/CountryWillRaise,Text,,Will Raise,Wzrośnie,Va a Aumentar,
GameStart/CountryWillRaiseFast,Text,,Will Raise Quickly,Będzie Szybko Rosnąć,Va a aumentar rapidamente,
GameStart/CountryWillRaiseSlow,Text,,Will Slowly Raise,Będzie Wolno Rosnąć,Va a aumentar lentamente,
GameStart/CountryWorkersSalary,Text,,Employees Salaries:,Pensje Pracowników:,Salarios de los empleados:,
GameStart/DifficultyMainName,Text,,Difficulty,Poziom Trudności,Dificultad,Dificuldade
GameStart/EasyDifficulty,Text,,Easy,Łatwy,Fácil,Fácil
GameStart/EducationLevel,Text,,Education Level:,Poziom Edukacji:,Nivel de educación:,
GameStart/France,Text,,France,Francja,Francia,
GameStart/Germany,Text,,Germany,Niemcy,Alemania,
GameStart/HardDifficulty,Text,,Hard,Trudny,Difícil,Difícil
GameStart/High,Text,Don’t touch colors tag,<style=Positive>High</style>,<style=Positive>Wysoka</style>,<style=Positive>Alto</style>,
GameStart/HotYerba,Text,,Warm,Ciepła,Calido,
GameStart/India,Text,,India,Indie,India,
GameStart/Italy,Text,,Italy,Włochy,Italia,
GameStart/Japan,Text,,Japan,Japonia,Japón,
GameStart/Lebanon,Text,,Lebanon,Libia,Libano,
GameStart/LegendaryDifficulty,Text,,Legendary,Legendarny,Legendario,Lendário
GameStart/Low,Text,Don’t touch colors tag,<style=Negative>Low</style>,<style=Negative>Niska</style>,<style=Negative>Bajo</style>,
GameStart/Medium,Text,Don’t touch colors tag,<style=Mediocre>Medium</style>,<style=Mediocre>Średnia</style>,<style=Mediocre>Medio</style>,
GameStart/MediumDifficulty,Text,,Medium,Średni,Medio,Médio
GameStart/NotChosen,Text,,<color=#C8C8C8>Not Chosen:</color>,<color=#C8C8C8>Nie Wybrano:</color>,,
GameStart/Paraguay,Text,,Paraguay,Paragwaj,Paraguay,
GameStart/Poland,Text,,Poland,Polska,Polonia,
GameStart/Russia,Text,,Russia,Rosja,Rusia,
GameStart/StartCompany,Text,,Set Up A Company,Załóż Firmę,Establece una empresa,
GameStart/StartCountry,Text,,Country,Kraj,País,País
GameStart/Syria,Text,,Syria,Syria,Siria,
GameStart/Tax,Text,,Tax Rate:,Wysokość Podatków:,Tasa de impuesto:,Taxa de imposto:
GameStart/Turkey,Text,,Turkey,Turcja,Turquia,
GameStart/UK,Text,,UK,Wielka Brytania,Reino Unido,
GameStart/USA,Text,,USA,USA,Estados Unidos,
GameStart/Uruguay,Text,,Uruguay,Urugwaj,Uruguay,
GameStart/YerbaMatePopularity,Text,,Yerba Mate Popularity:,Popularność Yerba Mate:,Popularidad de la Yerba Mate:,
GameStart/YerbaMateSmokeFire,Text,,Fire,Ogień,Fuego,Fogo
GameStart/YerbaMateSmokeHotAir,Text,,Hot Air,Gorące Powietrze,Aire caliente,
GameStart/YerbaPrepareSpecialization,Text,,Preparation — Specialization,Przyrządzanie — Specjalizacja,Preparación  — Especialización,
GameStart/YerbaSmokeSpecialization,Text,,Drying — Specialization,Suszenie — Specjalizacja,Secado  — Especialización,
Jokes/EpicRateJoke,Text,Don't touch style tag,"Something amazing, <style=Important>I JOKED!</style>","Coś niesamowitego, <style=Important>ŻARTOWAŁEM!</style>","Algo sorprendente, <style=Important>Bromeaba!</style>",
Jokes/NeverWinNumber,Text,,"Your company has gone bankrupt, but you have one more chance, the system drew a number from 0 to 99, if you will guess this number, you will be able to return to the game.","Twoja firma zbankrutowała, ale masz jeszcze jedną szansę, system wylosował liczbę od 0 do 99, jeśli zgadniesz tę liczbę, to będziesz mógł powrócić do gry","Tu compania ha quebrado, pero tienes otra oportunidad. El sistema eligio un numero del 0 al 99, si lo adivinas, podras volver al juego.",
Jokes/Quote0,Text,,“It is Better to win than lose” - DonislawDev,„Lepiej wygrać niż przegrać” - DonislawDev,„Es mejor ganar que perder” - DonislawDev,
Jokes/Quote1,Text,,“Creating the best yerba is the key to winning” - DonislawDev,„Kluczem do wygrania jest tworzenie dobrych yerb” - DonislawDev,„Crear la mejor yerba es la clave para ganar” - DonislawDev,
Jokes/Quote2,Text,,“May Wojciech's feet bless you” - DonislawDev,„Niech stopy Wojciecha Cię błogosławią” - DonislawDev,„Que los pies de Wojciech te bendigan” - DonislawDev,
Jokes/Quote3,Text,,“I wish you a nice day and good yerba” - DonislawDev,„Życzę Ci miłego dnia i dobrej yerby” - DonislawDev,„Te deseo un buen dia y buena yerba” - DonislawDev,
Jokes/Quote4,Text,,“Calling yerba tea is like comparing this game to Witcher 3” - DonislawDev,"„Nazywanie yerby herbatą, jest jak porównywanie tej gry do Wiedzmuna 3” - DonislawDev",„Decirle té a la yerba es como comparar este juego con Wrticher 3” - DonislawDev,
